likes,views,engagement_pct,post_date,creator_handle,creator_name,followers,shop_video,video_url,caption
93,55100,0.17,2025-10-07,@shopwithkellie,Kellie chaos 2739,10000,shop-other,https://www.tiktok.com/@shopwithkellie/video/7558362379650698527,#primalqueen #creatinegummies 30+ Women 40+women  Trending Products Must haves Flash Sale 
93,15100,0.62,2024-11-14,@melrein82,Maggie Sue & Golden Doodle,15900,YES,https://www.tiktok.com/@melrein82/video/7437217324576279850,👑💅🏼Unlock your health with Primal Queen Beef Supplement! Packed with essential nutrients t
92,8802,1.05,2026-05-10,@drew.review1,Drew Review,162900,YES,https://www.tiktok.com/@drew.review1/video/7638348005212556557,"Beef organs are not just hype, they are LOADED with insane nutrition that women are usuall"
92,48900,0.19,2026-01-23,@highvibeintuition,✨Andrea✨,47900,YES,https://www.tiktok.com/@highvibeintuition/video/7598678602942631199,Now is the perfect time to lock in my queens! Be sure to take advantage of this offer befo
92,54200,0.17,2026-03-17,@highvibeintuition,✨Andrea✨,47900,YES,https://www.tiktok.com/@highvibeintuition/video/7618120791401532702,Take a moment to check this out and see what’s showing up on your end!! If you’re seeing t
92,18300,0.5,2024-12-02,@melrein82,Maggie Sue & Golden Doodle,15900,YES,https://www.tiktok.com/@melrein82/video/7443963183045594414,Replying to @Ana Stella @Primal Queen #primalqueen #beeflivergrassfedbeef #beeforgansupple
91,14700,0.62,2025-07-12,@bluejeansdaily,⚜️🪿ｂｌｕｅ ｊｅａｎｓ🪿⚜️,20900,YES,https://www.tiktok.com/@bluejeansdaily/video/7526232182986214670,"Postpartum brain fog? Hormones all over the place? Same, girl. This Primal Queen box was m"
91,4984,1.83,2025-07-25,@kymieann1,Kymie Ann,112500,YES,https://www.tiktok.com/@kymieann1/video/7531121383657458999,Beef organ supplements #beeforgans #beeforgansupplements #supplements #energy
90,608,14.8,2026-02-16,@jenniferb936,Mama Jennifer,10100,YES,https://www.tiktok.com/@jenniferb936/video/7607491260252704013,🔥 Fuel Your Body the Natural Way with Primal Queen Beef Organ Supplement 🔥 Experience the 
89,2292,3.88,2026-05-12,@itsbrittanyrenea89,itsbrittanyrenea89,5843,YES,https://www.tiktok.com/@itsbrittanyrenea89/video/7639000017386147103,"Day 1 of my Primal Queen journey 👑✨ Trying to feel better, get my energy back, balance my "
89,19600,0.45,2026-02-25,@highvibeintuition,✨Andrea✨,47900,YES,https://www.tiktok.com/@highvibeintuition/video/7610664014854540574,After trying everything for my chaotic cycle… This is what I’ve stuck with! 🤌🏼✨ **results 
89,19200,0.46,2024-10-17,@linzibcochran,Linzi with a Z✌🏼,19600,YES,https://www.tiktok.com/@linzibcochran/video/7426890569592360223,Primal Queen Beef Organ Supplement Updated Review!🤓👏🏼 I have noticed a difference!! #prima
89,3281,2.71,2024-11-09,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7435372733191540010,Replying to @JCBalloonHTX i hope this helps #beeforgans #beefliver #anemic #anemia #wellne
88,84500,0.1,2026-05-22,@syntrachart,syntrachart,6288,YES,https://www.tiktok.com/@syntrachart/video/7642771310594084110,"Complete wellness bundle for beauty, strength, and daily support 💖 #WellnessRoutine #Suppl"
88,5829,1.51,2025-10-23,@julias.finds_,julias.finds_,28300,YES,https://www.tiktok.com/@julias.finds_/video/7564554409439431967,"Nothing fancy, just real ingredients that make me feel good. 💅🏼    #protein #primalqueen #"
88,1176,7.48,2025-08-17,@that90sguuurl,🧿🍉that90sgurl🍉🇭🇷🇧🇦🧿,29600,no,https://www.tiktok.com/@that90sguuurl/video/7539482678349860109,Beef organs have changed my life ! #primalqueensupplements #beeforgans
